x0 = 37 , y0 = 14, x1 = 121, y1 = 14
x0 = 36 , y0 = 21, x1 = 128, y1 = 21
x0 = 471 , y0 = 32, x1 = 527, y1 = 32
x0 = 923 , y0 = 32, x1 = 979, y1 = 32
x0 = 33 , y0 = 32, x1 = 89, y1 = 32
x0 = 473 , y0 = 34, x1 = 529, y1 = 34
x0 = 70 , y0 = 34, x1 = 126, y1 = 34
x0 = 29 , y0 = 85, x1 = 82, y1 = 82
x0 = 442 , y0 = 88, x1 = 506, y1 = 87
x0 = 465 , y0 = 126, x1 = 528, y1 = 128
x0 = 468 , y0 = 126, x1 = 528, y1 = 126
x0 = 465 , y0 = 128, x1 = 528, y1 = 130
x0 = 46 , y0 = 130, x1 = 125, y1 = 130
x0 = 466 , y0 = 131, x1 = 528, y1 = 131
x0 = 72 , y0 = 132, x1 = 126, y1 = 132
x0 = 1541 , y0 = 132, x1 = 1603, y1 = 132
x0 = 1541 , y0 = 133, x1 = 1603, y1 = 133
x0 = 1541 , y0 = 134, x1 = 1603, y1 = 134
x0 = 1541 , y0 = 135, x1 = 1603, y1 = 135
x0 = 1545 , y0 = 136, x1 = 1604, y1 = 136
x0 = 1545 , y0 = 137, x1 = 1604, y1 = 137
x0 = 1545 , y0 = 138, x1 = 1604, y1 = 138
x0 = 1545 , y0 = 143, x1 = 1599, y1 = 143
x0 = 1545 , y0 = 144, x1 = 1603, y1 = 145
x0 = 419 , y0 = 168, x1 = 1610, y1 = 168
x0 = 883 , y0 = 214, x1 = 948, y1 = 216
x0 = 55 , y0 = 225, x1 = 108, y1 = 225
x0 = 55 , y0 = 227, x1 = 105, y1 = 227
x0 = 55 , y0 = 228, x1 = 108, y1 = 228
x0 = 55 , y0 = 229, x1 = 109, y1 = 231
x0 = 55 , y0 = 232, x1 = 108, y1 = 232
x0 = 908 , y0 = 276, x1 = 972, y1 = 276
x0 = 1072 , y0 = 276, x1 = 1125, y1 = 276
x0 = 897 , y0 = 304, x1 = 953, y1 = 304
x0 = 415 , y0 = 318, x1 = 1613, y1 = 318
x0 = 450 , y0 = 451, x1 = 529, y1 = 451
x0 = 450 , y0 = 454, x1 = 529, y1 = 454
x0 = 608 , y0 = 454, x1 = 664, y1 = 454
x0 = 415 , y0 = 468, x1 = 1613, y1 = 468
x0 = 415 , y0 = 618, x1 = 1613, y1 = 618
x0 = 415 , y0 = 768, x1 = 1613, y1 = 768
x0 = 415 , y0 = 918, x1 = 1613, y1 = 918
x0 = 415 , y0 = 1068, x1 = 1613, y1 = 1068
x0 = 900 , y0 = 1201, x1 = 954, y1 = 1201
x0 = 415 , y0 = 1218, x1 = 1613, y1 = 1218
x0 = 910 , y0 = 1255, x1 = 969, y1 = 1255
x0 = 612 , y0 = 1326, x1 = 662, y1 = 1326
x0 = 600 , y0 = 1354, x1 = 688, y1 = 1354
x0 = 464 , y0 = 1354, x1 = 520, y1 = 1354
x0 = 1067 , y0 = 1354, x1 = 1123, y1 = 1354
x0 = 415 , y0 = 1368, x1 = 1613, y1 = 1368
x0 = 454 , y0 = 1391, x1 = 541, y1 = 1382
x0 = 466 , y0 = 1391, x1 = 554, y1 = 1382
x0 = 1542 , y0 = 1392, x1 = 1603, y1 = 1393
x0 = 1541 , y0 = 1394, x1 = 1603, y1 = 1394
x0 = 1545 , y0 = 1396, x1 = 1603, y1 = 1397
x0 = 1545 , y0 = 1399, x1 = 1603, y1 = 1399
x0 = 1545 , y0 = 1400, x1 = 1601, y1 = 1400
x0 = 1545 , y0 = 1401, x1 = 1603, y1 = 1401
x0 = 1545 , y0 = 1402, x1 = 1603, y1 = 1402
x0 = 1545 , y0 = 1406, x1 = 1602, y1 = 1405
